track_id,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0gEV1AR0gd59DzrMJalYcK,Bullet From A Gun,Ignorance is Bliss,Skepta,2019-05-31,171333,59,0.469,0.87,0.685,3.68e-06,0.281,-6.3,0.297,134.961,4
7086QbyiN4ITmlngO7XwgA,Oshey,Ojekoo,Juls,2017-12-15,270158,46,0.0926,0.856,0.348,0.0763,0.0662,-10.113,0.0784,117.983,4
1Iz87RGfw3AByk09mQ9t5T,"Love, Peace and Prosperity",Big Conspiracy,J Hus,2020-01-24,194053,47,0.234,0.619,0.694,0.0,0.116,-6.746,0.125,99.072,4
3rqmxZNh2BRgJ3BiCPFTSG,Disaster (feat. J Hus),PSYCHODRAMA,Dave,2019-03-08,240160,66,0.619,0.727,0.761,0.0,0.077,-5.686,0.436,91.108,4
57XA5uPB0JtQTPCyRRrwGp,Trust Issues,Roots,NSG,2020-06-19,201600,47,0.0688,0.469,0.848,1.4e-05,0.159,-4.556,0.338,73.936,3
3B0WbRucJ6ZIla2G9IVt2E,I Dunno (feat. Dutchavelli & Stormzy),I Dunno (feat. Dutchavelli & Stormzy),Tion Wayne,2020-05-29,178137,66,0.0954,0.821,0.666,0.0,0.319,-7.237,0.342,145.066,4
15EPc80XuFrb2LmOzGjuRg,Crew (feat. Brent Faiyaz & Shy Glizzy),At What Cost,GoldLink,2017-03-24,176702,79,0.133,0.728,0.607,0.0,0.0864,-8.417,0.132,129.938,4
54I1dC6Ux5I4h7U44DmjgK,Coconut Water,Coconut Water,Nia Sultana,2019-09-12,180705,46,0.0876,0.724,0.432,3.22e-05,0.0828,-9.945,0.203,84.992,4
6LXe2xtReWDWGnHCA5I3uO,Sway,Sway,Cupidon,2021-08-13,169600,56,0.617,0.712,0.532,0.00745,0.121,-6.286,0.0494,99.951,4
4n358XQMHXd0xi6NazWdxr,Vex Oh (feat. Eight9FLY),BUBBA,KAYTRANADA,2019-12-13,162146,67,0.148,0.742,0.645,2.86e-05,0.0861,-10.248,0.386,112.402,4
3X6YJcqTinaNraRvojF62K,Z4L (with Bari & Jay2),NOIR,Smino,2018-11-08,162590,66,0.0779,0.822,0.503,0.0,0.161,-6.889,0.285,71.524,4
0wY9rA9fJkuESyYm9uzVK5,D'Evils,November,SiR,2018-01-19,171818,69,0.00558,0.784,0.586,0.000286,0.106,-3.417,0.187,132.169,4
6zWU7YALeEDMcPGhKKZJhV,Navajo,Navajo,Masego,2017-06-08,194157,72,0.117,0.567,0.593,1.32e-06,0.248,-7.404,0.288,88.545,4
7jaYiqwCFQDdtxfQaSzZuM,Meditation (feat. Jazmine Sullivan & KAYTRANADA),At What Cost,GoldLink,2017-03-24,258784,54,0.0303,0.849,0.703,0.0,0.0831,-7.069,0.193,115.052,4
5KapB9KJnRsZrprzIAXycW,Uknowhowwedu,Kollage,Bahamadia,1996-04-02,214866,59,0.641,0.534,0.596,2.16e-05,0.276,-10.289,0.388,185.733,4
4doxCAkqckpGTasPN6ByUu,Rebuke,KAYTRAMINÉ,KAYTRAMINÉ,2023-05-19,118436,73,0.189,0.649,0.565,0.0,0.127,-7.348,0.0839,86.899,4
439X8jGytErRiPnaoUJHju,CHANCES,NOTHIN LIKE U / CHANCES,KAYTRANADA,2018-11-30,218200,69,0.204,0.835,0.527,0.000423,0.283,-7.272,0.128,106.003,4
6efkcs2aUBMFKxl0cl2JWQ,Wild Irish Roses,blkswn,Smino,2017-03-14,169319,69,0.554,0.639,0.295,3.09e-05,0.3,-11.237,0.544,86.947,4
3VBYPu6aJaCgtlHx3Avxbk,Funky Thang,Funky Thang,Shay Lia,2018-08-10,160780,53,0.137,0.732,0.649,8.61e-05,0.113,-7.672,0.413,120.072,4
5ibTi2YwtvbB1bTOv2I93d,John Redcorn,Chasing Summer,SiR,2019-08-30,187893,68,0.224,0.734,0.438,0.00292,0.215,-6.124,0.0865,143.961,4
