track_id,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
2PyJgiGTC2jhNkqtPBwHsv,143569,43,0.714,0.603,0.433,0.0407,0.105,-5.935,0.338,63.545,5,0
3teVlSIOsmB9HYbOHqAKRV,197327,37,0.394,0.698,0.609,0.00292,0.678,-5.658,0.208,79.028,4,0
1wfIqsTXmMVtZxYk8uWxGa,164571,62,0.23,0.726,0.71,0.302,0.0922,-8.316,0.191,104.83,4,0
3owm3LW9jSaF0UjULZvGJw,255157,49,0.454,0.79,0.631,9.07e-05,0.167,-8.557,0.25,95.005,4,0
3hr4lwTXMCFKIH5KOSoXQ5,215700,44,0.497,0.856,0.649,0.00191,0.17,-4.679,0.213,99.969,4,0
6MzjLOHzkqoi7667ysz41k,156454,49,0.358,0.85,0.645,1.12e-05,0.09,-6.302,0.0611,104.022,4,0
6VeC3aMLLOoSIR4UZ0d0hc,241081,29,0.129,0.776,0.57,0.000411,0.113,-9.454,0.298,143.992,4,0
6rB1KkvMlXl5hPB7EbTWw5,146447,47,0.086,0.733,0.757,0.000596,0.096,-5.141,0.114,192.001,4,0
7Moq2DLFyS8e1IVl35nAR3,176400,18,0.421,0.584,0.762,0.609,0.0871,-7.289,0.101,199.988,4,0
0MURF0yjHOChxkrlUrLQWk,134000,40,0.456,0.66,0.689,0.000381,0.0886,-5.063,0.151,194.056,4,0
2PKRz9DR6lUX6zAJgW5aRV,174500,48,0.499,0.629,0.821,0.0,0.411,-3.4,0.17,63.59,5,0
3RUQ8Lu7yR9FXUkwKTDJKA,229714,42,0.0438,0.802,0.442,0.0,0.12,-13.269,0.129,139.947,4,0
5qaUDvqjsI6lnrtEhQqMle,201636,50,0.151,0.758,0.601,0.00809,0.169,-7.042,0.141,126.03,4,0
11RIJRbBfyLlJut96itSFd,199521,68,0.345,0.836,0.614,9.86e-05,0.088,-4.543,0.311,101.97,4,0
6vdhXHNT6yKhheq7pxw68E,192309,39,0.563,0.89,0.536,0.000859,0.622,-4.794,0.123,95.02,4,0
0D89NuvkYKIgKTnMGQwPUy,222315,34,0.576,0.813,0.353,0.779,0.102,-10.626,0.0931,126.604,5,0
5SyomyWqCVD0UrdEh2IhN9,169959,33,0.735,0.854,0.771,0.155,0.0785,-6.567,0.191,103.051,4,0
2OJAJkXXfuNHLElpkteLCk,225865,35,0.267,0.834,0.504,0.000534,0.119,-8.671,0.0886,100.011,4,0
05vU0jW7ZkWiPShxlM0OU7,256365,45,0.0558,0.493,0.519,0.000137,0.105,-6.35,0.0512,109.637,5,0
75M9fg6c4JgX96bele7FMk,224516,25,0.343,0.775,0.683,0.00016,0.525,-5.149,0.0405,93.013,4,0
6CJD4LDNULzE645JA2XHpx,179775,54,0.202,0.923,0.666,0.00414,0.105,-4.97,0.0609,110.011,4,0
